Class	Cancer	Gene1	Gene2	PValue	correlation.pvalue	Mutex	PvalPathway
positive	LUAD	KRAS	CDK1	0.116731711234718	0.0588306960106291	0.97199036307327	0.773571051661779
positive	LUAD	KRAS	GATA2	0.405530065771113	0.264805065216503	0.999999220902207	0
positive	LUAD	KRAS	MAP3K7	0.000240443409884995	0.0598704868192361	0.979999553652418	0.552505924504521
positive	LUAD	KRAS	PLK1	0.655647286018385	0.0140426625923801	0.535868792297343	0.543762556385277
positive	LUAD	KRAS	PRKCA	0.610175719255472	0.325509400726491	0.999906222392728	0.999999813224659
positive	LUAD	KRAS	STK33	0.645440842309338	0.343764685049356	0.999585130654596	0
positive	LUAD	KRAS	TBK1	0.557717995897495	0.000480012494580895	1	0
positive	LUAD	KRAS	A2M	0.365863081099383	0.00731604799307862	1	0
positive	LUAD	KRAS	ABCB5	0.0168517839697103	0.801806129868149	0.96847247006269	0
positive	LUAD	KRAS	ACSM4	0.725173482191489	1.32303441956921e-09	1	0
positive	LUAD	KRAS	ACTR2	0.763832074909281	1.18350858950758e-07	0.999999724616356	0
positive	LUAD	KRAS	ACVRL1	0.268809293248871	0.0260849024443982	1	0
positive	LUAD	KRAS	ADAM22	0.216496707622477	0.276171101360708	0.992923853379495	0
positive	LUAD	KRAS	ADAMTS14	0.421334673578415	0.488004545453421	0.981056965499521	0
positive	LUAD	KRAS	ADAMTSL5	0.820123983396536	0.777744688786797	0.987148350118728	0
positive	LUAD	KRAS	ADCY8	0.0231277416811846	0.346048393874493	0.997797452070813	0.990097817034828
positive	LUAD	KRAS	ADH7	0.000573637088438993	0.700431044727621	0.993439535135717	0
positive	LUAD	KRAS	AKR1D1	0.00177850249430661	0.764684298335368	0.899433670710814	0
positive	LUAD	KRAS	ALKBH3	0.863571400552589	0.0342394341167342	0.995992528990403	0
positive	LUAD	KRAS	ALKBH7	0.574926362705296	0.000853901478730983	0.999617882418139	0
positive	LUAD	KRAS	ANAPC1	0.907699350465131	3.34385894388578e-05	0.999999652354557	0.442735633341018
positive	LUAD	KRAS	ANAPC4	0.43884233026372	0.213101240121054	0.999919956381582	0.442735633341018
positive	LUAD	KRAS	ANXA5	0.25372015924041	0.396989699636893	0.990561947047058	0
positive	LUAD	KRAS	AOX1	0.0864587375763176	0.569244142840738	0.999855217943452	0
positive	LUAD	KRAS	ARID1B	0.10028647077295	0.675670777829202	0.388119421158409	0
positive	LUAD	KRAS	ARL4A	0.803469238806919	0.549740509130866	0.991448225688297	0
positive	LUAD	KRAS	ARPC2	0.968078465729282	0.54826835288074	0.999969276993219	0.543762556385277
positive	LUAD	KRAS	ARPC3	0.44486128736208	0.201718759964041	1	0.543762556385277
positive	LUAD	KRAS	ARSA	0.377975965241461	0.0195248202411359	0.84523106570039	0
positive	LUAD	KRAS	ASB16	0.0127195605010574	0.666052471776196	0.999923959902253	0
positive	LUAD	KRAS	ASH1L	0.219753195628745	0.0114843626532125	0.394924262398098	0.667015402499273
positive	LUAD	KRAS	ATP6V1B1	0.259890852698934	0.731015035709665	0.999995424317197	0
positive	LUAD	KRAS	BCL2L1	0.461863165184009	0.0253737141940722	0.999955936166856	0.884154161100486
positive	LUAD	KRAS	BFSP1	0.689995507467688	0.486625597307722	0.982147547254482	0
positive	LUAD	KRAS	BMP1	0.852777999639093	0.284603519711722	0.947700273233013	0
positive	LUAD	KRAS	C1QA	0.792238081094495	0.0127968188441718	0.22924891929299	0
positive	LUAD	KRAS	C1R	0.798942444846673	0.00324750224657993	1	0
positive	LUAD	KRAS	C6	0.140311258020892	0.181620431223934	0.0545296907433828	0
positive	LUAD	KRAS	CA12	0.415145560128947	0.969787972736672	0.999974744682546	0
positive	LUAD	KRAS	CACNA2D2	0.175248149754641	0.0489979845589544	0.99994110037865	0.360026778760828
positive	LUAD	KRAS	CALR	0.673133541727782	0.850539608417295	0.998496951915091	0
positive	LUAD	KRAS	CANX	0.498488303577101	0.00894925707022728	0.460100350799276	0
positive	LUAD	KRAS	CARM1	0.187955060855292	0.205461054653221	0.982225238760025	0
positive	LUAD	KRAS	CASC5	0.0145337692749828	0.000192927965748035	0.999782950101945	0
positive	LUAD	KRAS	CATSPER1	0.227089115369475	0.972194749577864	0.998011536914708	0
positive	LUAD	KRAS	CCDC112	0.189718930963032	0.396840220598031	0.175442707857358	0
positive	LUAD	KRAS	CCDC120	0.448521541925343	0.154355493940192	0.876865108431657	0
positive	LUAD	KRAS	CCIN	0.0234481840685661	0.416456218921204	0.89052917553987	0
positive	LUAD	KRAS	CCNA2	0.213691043196321	0.0026692131353437	0.985531572393717	0.667015402499273
positive	LUAD	KRAS	CCT2	0.0776020277713022	0.36501029616552	1	0
positive	LUAD	KRAS	CCT8	0.646284039766368	0.212836779931033	0.0221571983875259	0
positive	LUAD	KRAS	CD68	0.141728650421938	0.0969546343849276	0.999998055070444	0
positive	LUAD	KRAS	CDC16	0.761446132042706	0.324865755312409	0.405616732248632	0.442735633341018
positive	LUAD	KRAS	CDC27	0.370481751221674	1.02843775786081e-06	0.99999031749115	0.442735633341018
positive	LUAD	KRAS	CDC6	0.139366545777228	0.0032276364594083	0.999500891830922	0
positive	LUAD	KRAS	CDC73	0.261653708104876	7.60518562112521e-07	0.547214391551616	0
positive	LUAD	KRAS	CDCA8	0.0961336695524356	0.0875705726165329	0.134187057917859	0
positive	LUAD	KRAS	CDH5	0.276085048130003	0.01980638593589	0.82049420961823	0
positive	LUAD	KRAS	CDK5RAP3	0.0668657186188993	0.1202024400284	0.999980459478334	0
positive	LUAD	KRAS	CDKL3	0.0860815210165038	0.271519406511788	0.637646807629506	0
positive	LUAD	KRAS	CHN1	0.252561451023331	0.268059991050259	0.999898727835817	0
positive	LUAD	KRAS	CLCN1	0.0165622388349272	0.869929244624768	0.75369767499433	0
