	BRCA	COAD	LUAD	OV
DAISY	0.6±0.04	0.77±0.04	0.42±0.07	0.52±0.1
DiscoverSL	0.6±0.05	0.54±0.03	0.58±0.07	0.5±0.12
pca-gCMF	0.97±0.02	0.66±0.04	0.79±0.11	0.93±0.06
Elastic Net	0.99±0.01	0.67±0.04	0.97±0.01	0.62±0.11
L0L2	0.99±0	0.66±0.05	0.97±0.01	0.61±0.12
Random Forest	0.99±0.01	0.72±0.04	0.95±0.02	0.51±0.12
MUVR	0.99±0	0.68±0.03	0.95±0.02	0.44±0.11
Elastic Net (All)	0.95±0.02	0.52±0.04	0.94±0.01	0.48±0.07
L0L2 (All)	0.94±0.02	0.53±0.04	0.94±0.02	0.5±0.08
Random Forest (All)	0.98±0.02	0.68±0.06	0.93±0.03	0.48±0.15
MUVR (All)	0.98±0.01	0.69±0.04	0.92±0.02	0.51±0.14
Elastic Net (Unbalanced)	0.84±0.02	0.56±0.05	0.94±0.02	0.45±0.08
L0L2 (Unbalanced)	0.83±0.02	0.57±0.04	0.93±0.02	0.46±0.08
Random Forest (Unbalanced)	0.98±0.01	0.65±0.03	0.9±0.05	0.56±0.12
MUVR (Unbalanced)	0.98±0.01	0.67±0.06	0.95±0.03	0.55±0.12
