	Model	None	Single	Double
1	Elastic Net	0.84±0.01	0.81±0.02	0.71±0.1
2	L0L2	0.84±0.01	0.81±0.02	0.74±0.08
3	MUVR	0.86±0.01	0.84±0.02	0.72±0.11
4	pca-gCMF	0.92±0.01	0.87±0.01	0.5±0.04
5	Random Forest	0.86±0.01	0.83±0.02	0.72±0.11
